tic_id,toi,disposition,epoch_bjd,period/days,duration/hours,depth,planet_radius,stellar_radius,stteff,logg,tess_mag,prob_planet,rank
11566064,K00353.03,PC,2454966.5538,11.1619384,5.195,124.4,1.97,1.64,6200.0,4.072,13.374,0.9653587195627654,122
9967009,K03462.01,PC,2454975.1049,12.4326997,7.81,240.3,1.88,1.229,5480.0,4.22,15.916,0.9640206281289122,123
3848966,K03389.01,PC,2454988.5003,29.7681831,9.425,159.9,3.98,2.916,5640.0,3.679,14.564,0.9634200304449158,124
10585749,K04563.01,PC,2454977.7536,54.333582,10.545,152.0,1.7,1.221,5500.0,4.228,14.487,0.963385422139327,125
5621333,K03341.02,PC,2454972.9777,11.5474983,6.684,115.5,1.48,1.352,5775.0,4.193,14.886,0.9630385784708798,126
11773625,K07479.01,PC,2454966.4145,7.1969168,4.525,47.1,1.1,1.575,5530.0,4.045,13.44,0.9629158771740892,127
4263529,K03358.01,PC,2454965.892841,10.10404351,1.0022,1322.4,4.05,0.831,5530.0,4.541,14.031,0.9624074367189828,128
2973386,K03034.01,PC,2454971.01479,31.0209175,2.012,859.5,1.66,0.48,3720.0,4.764,15.572,0.9624042102098598,129
9304976,K05654.01,PC,2454988.2574,54.6957124,6.89,1096.0,3.28,0.757,5299.0,4.535,13.823,0.9617238397524905,130
12785320,K00298.02,PC,2455003.72723,57.3840375,4.336,241.7,1.62,0.79,5250.0,4.541,12.713,0.9616333843429846,131
4349442,K01803.01,PC,2454966.9595824,4.539297295,1.9455,798.1,2.34,0.724,4914.0,4.61,13.26,0.9614562647922934,132
5954001,K04633.01,PC,2454975.6574,11.6933447,6.551,66.9,1.12,1.354,6049.0,4.248,13.848,0.9614428450209319,133
7609553,K02924.02,PC,2454967.13633,8.85686712,0.606,319.2,1.88,0.797,5017.0,4.516,14.589,0.9608926731245656,134
11036168,K05855.01,PC,2455043.6893,217.792748,4.695,1487.0,6.15,1.283,5600.0,4.209,15.138,0.9607016076696762,135
